j,dist
7589,1.1523721561654094
33289,1.1800805598470858
33288,1.1802686223990129
36838,1.184868144878472
36839,1.1850564275940316
67261,1.1860866773120042
67260,1.186157998833952
37225,1.1862984898892706
37224,1.1867101486664857
26709,1.1929254681903743
69774,1.1934138335381108
69775,1.1938929090183932
16632,1.1942795226777718
16633,1.1947981991275916
37221,1.1951377615849226
37220,1.1952753875649458
15264,1.1959818536535058
15265,1.1960695921269808
58377,1.1966081188774507
58376,1.1973037716512038
34348,1.1993746050229952
64113,1.1995407744478983
34349,1.1995566301254654
42365,1.2005055716936146
55704,1.2006049788413757
42364,1.200728729531252
29255,1.2011017445647187
47009,1.2014155896322192
47008,1.2016944576361746
8892,1.201777419926986
26722,1.2021765848987733
26723,1.20235582891151
25933,1.2028619004494174
24911,1.2032480443830078
42118,1.2032817534722124
42119,1.203369680123184
58983,1.2033814093769324
58982,1.203597834984569
24910,1.2036432339457455
56365,1.204900990186584
9819,1.2054396973129469
36822,1.2056509723732398
63694,1.205989691650312
51948,1.2062229616087696
14455,1.2062376303560407
63695,1.2064788081964852
14454,1.2064834322940006
51949,1.2066940156032284
45440,1.2067036947927063
45441,1.2069812466600212
46684,1.2071300526034379
5452,1.207146241400619
5453,1.20723884794929
62939,1.2073799226885502
35069,1.2077345702573588
35068,1.2077564250194341
32213,1.2082891444030577
5158,1.2085042508818369
1845,1.2085973160918657
1844,1.208603967519337
32212,1.2088116906758701
45799,1.208872006611139
227,1.2089396108431685
51938,1.209410125593969
42121,1.2095131132822496
51939,1.2097191711520032
69773,1.2098603196933293
42120,1.2098817918262093
69772,1.2099512144248201
2258,1.209963140850145
26710,1.2109962307328048
7575,1.2111903535029391
64993,1.211473808379169
26740,1.2116190590133469
64881,1.2118754115348553
64992,1.2118968747614038
26706,1.2120091442542096
26707,1.212211308261919
24928,1.2122187653923602
26741,1.2122590655592143
36782,1.2123790642024583
69771,1.2124336816279246
69770,1.2125037944384176
25930,1.2129666472458214
7591,1.2131229563182504
26705,1.2131738824011489
26704,1.213206159697982
7590,1.2135874513983387
51284,1.2136262536092373
35741,1.2137355875796838
30405,1.213751420572392
51285,1.213789554023269
66298,1.2140488046553612
30404,1.2140537822249764
58976,1.214128862090213
58977,1.2142607833699595
66299,1.214335514802673
35740,1.2144647372918058
51944,1.2147991267432663
6614,1.2148586831086776
24513,1.2151964597294422
51945,1.2155474385549776
18451,1.2159412011878399
7979,1.215984333795914
7978,1.2160065347136355
9545,1.216534406353413
1849,1.2167715388802487
56081,1.216898422984519
56368,1.2172006834096123
55697,1.2172528922444152
56080,1.2172781823268324
1848,1.2174770239130939
56369,1.2175631483311045
15550,1.2178235968084896
15551,1.2179525795833626
51942,1.2181853438124648
51943,1.2186881680258643
5156,1.218719625759921
9816,1.218764226407686
54938,1.2188862332471362
5005,1.218928554108531
5004,1.2189628819753024
5157,1.2192949165083713
34146,1.219375672998373
34147,1.2194398398330006
5020,1.2196908876999615
58978,1.2197103088625592
6622,1.2197208952233276
24514,1.2197278908751055
5003,1.2198538104606436
58979,1.2198625582210025
27846,1.2199608219162006
57831,1.2200032203411681
27847,1.2200496220823447
5021,1.2200589478661976
48851,1.2200782327721877
5002,1.2201339334121108
48850,1.2201759615296033
67258,1.2206949132162996
57830,1.2208034655954725
16635,1.2209097523667507
9951,1.2209769928295997
37218,1.220977301168624
70217,1.2210942336761275
37219,1.2211070002445015
67259,1.2211160315745873
19295,1.221335504064769
19294,1.221439070593419
